Mapa,Cve_Ent,Nom_Ent,Nom_Abr,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ámbito,Latitud,Longitud,Lat_Decimal,Lon_Decimal,Altitud,Cve_Carta,Pob_Total,Pob_Masculina,Pob_Femenina,Total De Viviendas Habitadas,Niños UKA,Familias UKA
150740161,15,México,Mex.,74,San Felipe Del Progreso,161,Agua Zarca Nichi,R,"19°33´32.373N""","100°00´20.183W""",19.558993,-100.005606,2934,E14A26,344,159,185,63,,
150740232,15,México,Mex.,74,San Felipe Del Progreso,232,Ampliación De San Antonio La Ciénega,R,"19°38´19.163N""","100°02´11.927W""",19.638656,-100.036646,2621,E14A26,398,196,202,77,,
150740154,15,México,Mex.,74,San Felipe Del Progreso,154,Barrio Boreje De San Antonio La Ciénega,R,"19°40´54.619N""","100°02´52.785W""",19.681839,-100.047996,2668,E14A26,1145,578,567,210,,
150740263,15,México,Mex.,74,San Felipe Del Progreso,263,Barrio Cerro De La Luna Del Fresno Nichi,R,"19°32´54.246N""","099°54´22.913W""",19.548402,-99.906365,3041,E14A27,72,39,33,19,,
150740229,15,México,Mex.,74,San Felipe Del Progreso,229,Barrio De La Era San Pablo Tlalchichilpa,R,"19°44´03.508N""","099°59´08.014W""",19.734308,-99.985559,2759,E14A27,671,302,369,170,,
150740257,15,México,Mex.,74,San Felipe Del Progreso,257,Barrio El Agostadero Ejido De San Juan Jalpa,R,"19°42´36.418N""","099°55´48.152W""",19.710116,-99.930042,2552,E14A27,510,246,264,123,,
150740288,15,México,Mex.,74,San Felipe Del Progreso,288,Barrio El Llano Santa Ana Nichi Ejido,R,"19°37´11.894N""","099°58´06.740W""",19.619971,-99.968539,2609,E14A27,212,96,116,39,,
150740281,15,México,Mex.,74,San Felipe Del Progreso,281,Barrio El Rincón Santa Ana Nichi Ejido,R,"19°36´09.942N""","099°59´25.603W""",19.602762,-99.990445,2742,E14A27,543,266,277,87,,
150740264,15,México,Mex.,74,San Felipe Del Progreso,264,Barrio El Salto San Antonio La Ciénega,R,"19°40´53.647N""","100°03´49.039W""",19.681569,-100.063622,2656,E14A26,469,238,231,83,,
150740165,15,México,Mex.,74,San Felipe Del Progreso,165,Barrio La Cañada San Antonio La Ciénega,R,"19°39´40.036N""","100°04´16.386W""",19.661121,-100.071218,2655,E14A26,373,185,188,69,,
150740278,15,México,Mex.,74,San Felipe Del Progreso,278,"Barrio La Mesa, Rioyos Buenavista",R,"19°42´16.091N""","100°03´27.290W""",19.70447,-100.057581,2729,E14A26,949,454,495,161,,
150740289,15,México,Mex.,74,San Felipe Del Progreso,289,"Barrio Las Ánimas, Ejido De San Pedro El Alto",R,"19°37´06.328N""","099°53´34.996W""",19.618424,-99.893054,2550,E14A27,1108,531,577,202,,
150740290,15,México,Mex.,74,San Felipe Del Progreso,290,"Barrio Las Palomas, San Miguel La Labor",R,"19°35´43.924N""","100°00´37.434W""",19.595534,-100.010398,2807,E14A26,339,160,179,58,,
150740159,15,México,Mex.,74,San Felipe Del Progreso,159,"Barrio Las Palomas, Santa Ana Nichi",R,"19°35´31.093N""","100°00´02.272W""",19.59197,-100.000631,2870,E14A26,846,427,419,146,,
150740280,15,México,Mex.,74,San Felipe Del Progreso,280,"Barrio Las Presas, Ejido De San Jerónimo Mavatí",R,"19°34´34.933N""","099°54´44.697W""",19.57637,-99.912416,2958,E14A27,355,176,179,69,,
150740282,15,México,Mex.,74,San Felipe Del Progreso,282,"Barrio Las Torres, San Lucas Ocotepec",R,"19°41´35.190N""","099°58´05.911W""",19.693108,-99.968309,2720,E14A27,354,175,179,72,,
150740209,15,México,Mex.,74,San Felipe Del Progreso,209,Barrio San Francisco Ejido De San Pablo Tlalchichilpa,R,"19°44´09.508N""","100°00´30.734W""",19.735974,-100.008537,2799,E14A26,571,270,301,118,,
150740208,15,México,Mex.,74,San Felipe Del Progreso,208,Barrio San Francisco San Nicolás Guadalupe,R,"19°35´52.791N""","100°01´31.048W""",19.597998,-100.025291,2817,E14A26,2146,1017,1129,371,,
150740240,15,México,Mex.,74,San Felipe Del Progreso,240,"Barrio San José, Ejido De San Pedro El Alto",U,"19°37´34.589N""","099°53´46.454W""",19.626275,-99.896237,2536,E14A27,1429,702,727,293,,
150740231,15,México,Mex.,74,San Felipe Del Progreso,231,Barrio Santa Cruz De San Pablo Tlalchichilpa,R,"19°42´35.454N""","099°58´57.275W""",19.709848,-99.982576,2738,E14A27,726,350,376,161,,
150740291,15,México,Mex.,74,San Felipe Del Progreso,291,"Barrio Santa Cruz, San Pedro El Alto",R,"19°36´25.726N""","099°54´48.798W""",19.607146,-99.913555,2831,E14A27,285,133,152,51,,
150740223,15,México,Mex.,74,San Felipe Del Progreso,223,Barrio Tepetitlán Emilio Portes Gil,R,"19°39´10.818N""","099°53´12.396W""",19.653005,-99.886777,2530,E14A27,1032,498,534,240,,
150740292,15,México,Mex.,74,San Felipe Del Progreso,292,"Barrio Tierra Blanca, Ejido De San Pedro El Alto",R,"19°37´02.509N""","099°53´08.247W""",19.617364,-99.885624,2541,E14A27,1399,686,713,256,,
150740244,15,México,Mex.,74,San Felipe Del Progreso,244,"Barrio Tungareo, Emilio Portes Gil",R,"19°39´39.127N""","099°54´09.119W""",19.660869,-99.902533,2520,E14A27,599,279,320,142,,
